"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Sun Jul 14 10:34:21 IDT 2024","Sun Jul 14 10:34:36 IDT 2024","15099","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | spy",""
"passed","Sun Jul 14 10:45:23 IDT 2024","Sun Jul 14 10:45:39 IDT 2024","15385","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | same kind of paradise",""
"failed","Sun Jul 14 11:15:41 IDT 2024","Sun Jul 14 11:15:53 IDT 2024","11876","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | energetic",""
"failed","Sun Jul 14 10:04:03 IDT 2024","Sun Jul 14 10:04:24 IDT 2024","21121","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | montage",""
"failed","Sun Jul 14 09:56:34 IDT 2024","Sun Jul 14 09:56:49 IDT 2024","14970","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | taylor swift",""
"passed","Sun Jul 14 10:57:20 IDT 2024","Sun Jul 14 10:57:30 IDT 2024","10226","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | inspirational",""
"failed","Sun Jul 14 10:52:05 IDT 2024","Sun Jul 14 10:52:21 IDT 2024","16498","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | party",""
"failed","Sun Jul 14 09:52:25 IDT 2024","Sun Jul 14 09:52:41 IDT 2024","16386","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | countdown",""
"failed","Sun Jul 14 10:29:41 IDT 2024","Sun Jul 14 10:30:01 IDT 2024","19682","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | funny",""
"passed","Sun Jul 14 10:22:04 IDT 2024","Sun Jul 14 10:22:19 IDT 2024","15028","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | wave",""
"failed","Sun Jul 14 10:14:02 IDT 2024","Sun Jul 14 10:14:16 IDT 2024","14367","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | rise",""
"failed","Sun Jul 14 10:39:28 IDT 2024","Sun Jul 14 10:39:43 IDT 2024","14494","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | break it down",""
"passed","Sun Jul 14 10:42:27 IDT 2024","Sun Jul 14 10:42:44 IDT 2024","16708","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | lowfi",""
"failed","Sun Jul 14 10:00:33 IDT 2024","Sun Jul 14 10:00:50 IDT 2024","16349","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | woosh",""
"failed","Sun Jul 14 10:15:13 IDT 2024","Sun Jul 14 10:15:32 IDT 2024","19231","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | remix",""
"passed","Sun Jul 14 10:50:18 IDT 2024","Sun Jul 14 10:50:35 IDT 2024","16721","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | chill",""
"failed","Sun Jul 14 10:41:23 IDT 2024","Sun Jul 14 10:41:39 IDT 2024","15735","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | i just wanna have fun",""
"failed","Sun Jul 14 10:44:54 IDT 2024","Sun Jul 14 10:45:10 IDT 2024","16537","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | dramedy",""
"failed","Sun Jul 14 09:53:21 IDT 2024","Sun Jul 14 09:53:36 IDT 2024","15140","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | carefree",""
"failed","Sun Jul 14 11:11:29 IDT 2024","Sun Jul 14 11:11:39 IDT 2024","10253","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | tropical",""
"passed","Sun Jul 14 11:15:32 IDT 2024","Sun Jul 14 11:15:39 IDT 2024","6204","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | india",""
"failed","Sun Jul 14 09:52:55 IDT 2024","Sun Jul 14 09:53:08 IDT 2024","12507","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | history",""
"failed","Sun Jul 14 09:53:53 IDT 2024","Sun Jul 14 09:54:04 IDT 2024","11848","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | slow motion",""
"failed","Sun Jul 14 11:08:21 IDT 2024","Sun Jul 14 11:08:31 IDT 2024","9447","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | relaxing",""
"failed","Sun Jul 14 10:01:05 IDT 2024","Sun Jul 14 10:01:19 IDT 2024","13576","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | timelapse",""
"failed","Sun Jul 14 10:38:29 IDT 2024","Sun Jul 14 10:38:45 IDT 2024","15564","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | rocknstock",""
"failed","Sun Jul 14 10:43:32 IDT 2024","Sun Jul 14 10:43:47 IDT 2024","14471","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | god damn",""
"failed","Sun Jul 14 11:13:32 IDT 2024","Sun Jul 14 11:13:43 IDT 2024","11046","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | ocean",""
"passed","Sun Jul 14 10:25:04 IDT 2024","Sun Jul 14 10:25:20 IDT 2024","16604","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | ryan taubert",""
"failed","Sun Jul 14 10:28:59 IDT 2024","Sun Jul 14 10:29:14 IDT 2024","14634","Music","Music | Search term | Semantical search tests | engine: vespa | #MUSIC_AI","Existence of returned results | engine: vespa","","","Verify: At least 70% of the returned tracks ALBUMS per search term exist in data set | corporate",""
